Link Score,Domain ID,Range ID
0.3511144,0,152570
0.7710513,1,52796
0.8835933,2,56472
0.04163329,6,33175
0.10763124,7,82777
0.9026825,10,55111
0.07225879,16,153181
0.2553787,23,154078
0.76219386,27,55237
0.20928921,39,19191
0.92232764,56,53182
0.9073246,61,83092
0.91559666,62,33839
0.92232764,66,19961
0.7571785,78,147578
0.78966546,80,181862
0.74075097,91,33945
0.70209575,93,113009
0.79144627,94,150296
0.91173387,96,20443
0.5816043,97,55855
0.97746444,102,61549
0.7558791,103,55151
0.92232764,108,40532
0.92232764,112,123689
0.9225743,115,173203
0.49218702,117,58053
0.9992748,125,115183
0.22847544,130,85875
0.8226002,133,31821
0.9026825,135,55111
0.13207091,136,97464
0.9173388,143,33175
0.9026825,144,55111
0.98343205,148,53072
0.069744006,150,153181
0.9997115,154,57815
0.92232764,157,150180
0.92232764,161,172492
0.9133905,165,48053
0.99433655,166,86310
0.9790039,172,40109
0.54958344,176,195727
0.91054976,177,3031
0.92232764,179,152041
0.25392863,183,56017
0.1638393,190,156515
0.917746,194,195029
0.71186244,195,132560
0.8793837,197,44862
0.92232764,202,64898
0.91431034,203,37998
0.951932,210,27910
0.46184126,214,172795
0.81534344,218,153549
0.18495443,219,194705
0.9985481,221,58290
0.2855066,228,5417
0.78314406,233,41242
0.30477205,234,126777
0.8830682,237,47691
0.9132622,239,86963
0.94143295,240,182173
0.9398651,242,33516
0.8968556,252,113542
0.75118756,255,153549
0.772755,256,150180
0.9194911,259,49933
0.123771876,261,196180
0.46184126,266,172795
0.85243094,268,105606
0.49923134,273,79471
0.914028,276,46452
0.24659829,277,166448
0.92232764,278,134668
0.71332836,280,111550
0.99635077,287,53643
0.16704138,290,153754
0.9772882,292,35354
0.99635077,294,89788
0.040363077,295,153181
0.92232764,299,58968
0.82246315,301,96244
0.92232764,308,58802
0.75118756,309,153549
0.92232764,315,96936
0.88391614,316,129871
0.71186244,317,132560
0.042100713,320,154235
0.75118756,322,153549
0.92232764,324,31464
0.8637631,328,149902
0.85710484,329,18560
0.8464815,330,76293
0.92232764,331,57024
0.92232764,332,172080
0.9993048,337,28248
0.92232764,344,23936
0.8505269,345,96250
0.9135558,351,192516
0.9128348,352,50197
0.1958734,356,153754
0.9132622,362,86963
0.8900951,365,60826
0.8431666,366,22078
0.613621,374,45661
0.92232764,379,18990
0.92232764,384,83744
0.9929593,386,49579
0.74079335,391,88269
0.92232764,392,1721
0.14415985,401,9
0.92232764,402,59761
0.92232764,405,97850
0.91503763,415,54450
0.06667184,422,66705
0.07056111,424,153181
0.75118756,429,153549
0.25296786,442,152174
0.143675,443,147871
0.9169324,448,47283
0.92232764,453,18123
0.187261,454,156106
0.03515226,461,156879
0.92232764,462,156140
0.38377115,475,152938
0.44728318,477,148540
0.92232764,482,142756
0.44138435,488,132323
0.9089959,491,19650
0.9067091,495,149042
0.6167866,496,47347
0.14415985,499,50231
0.14581692,503,18429
0.92232764,509,52943
0.9911774,512,39155
0.7697538,514,44137
0.92232764,516,122635
0.19619776,517,153754
0.08984259,519,127288
0.9943763,531,35641
0.31426102,534,57702
0.86590666,535,25638
0.88319165,537,186651
0.9866978,545,114928
0.92232764,546,184847
0.19265631,548,52314
0.3720819,553,146064
0.9254759,559,53302
0.830041,561,47595
0.92232764,564,122409
0.9950496,568,177188
0.08137722,584,163539
0.012180515,587,32690
0.050027415,594,154667
0.4830108,604,161138
0.26415038,605,52237
0.91236037,606,3213
0.79094326,609,22913
0.8473767,610,48355
0.92232764,614,182676
0.86787957,615,60935
0.9206495,616,103555
0.6913224,618,105074
0.92232764,619,48862
0.06607876,623,188517
0.92232764,625,31654
0.14415985,626,84299
0.89506346,630,89923
0.8560049,631,36171
0.9690782,632,41011
0.48869944,641,50669
0.14415985,642,48196
0.92232764,644,165595
0.14415985,652,43152
0.0675645,655,66705
0.4450604,656,83746
0.7641501,659,88040
0.113832854,660,82777
0.8071734,662,46271
0.7919622,663,57154
0.26951796,664,124165
0.76835907,675,148889
0.12852272,678,153915
0.85695803,682,152402
0.73654175,684,32208
0.9188569,699,53254
0.88037014,706,53537
0.9924002,711,130530
0.99635077,714,114780
0.7877661,717,23087
0.72740614,718,52819
0.96606445,722,36693
0.78811145,723,156514
0.83998036,724,138456
0.8007125,733,86140
0.3037866,736,154472
0.29569373,738,52255
0.7049237,740,49601
0.93584466,757,57896
0.807616,761,29188
0.91327554,763,7329
0.92232764,765,184488
0.84495485,771,50871
0.9391162,774,42351
0.92232764,778,42009
0.045832757,780,66705
0.92232764,781,151658
0.14637507,782,169370
0.20980053,783,19191
0.92232764,797,156107
0.4345359,805,149018
0.18047577,806,85895
0.84526193,811,184460
0.92232764,814,105186
0.8881271,825,40526
0.060864292,826,151217
0.2942404,830,35645
0.1496482,839,154262
0.50171936,846,30463
0.11868727,849,170940
0.99955565,859,191438
0.75162333,863,106865
0.8696627,867,82440
0.10788481,872,31651
0.8731527,873,89310
0.66650397,874,94103
0.92232764,875,73491
0.9319104,878,46191
0.77733207,888,88975
0.997743,889,101867
0.017405052,891,170490
0.27500793,896,37870
0.12315904,899,25376
0.87197596,902,62134
0.92232764,910,100793
0.916414,912,183529
0.92232764,918,171558
0.84380007,919,22588
0.75820583,929,50757
0.9728658,937,41350
0.92232764,940,24681
0.0047557163,942,48845
0.63734144,950,51185
0.07240738,960,197080
0.14415985,965,104785
0.26014403,969,194424
0.7855019,970,112861
0.051588334,975,61626
0.0595911,978,59476
0.95962626,987,142844
0.1055887,990,180382
0.9117667,996,149348
0.99525917,1001,58548
0.0783051,1002,99265
0.92232764,1008,46059
0.25193727,1011,17650
0.74597603,1013,50279
0.6181688,1022,50311
0.12906092,1023,151217
0.92232764,1033,191319
0.81279725,1039,57702
0.99482846,1040,40769
0.6483173,1044,29818
0.88149446,1045,35675
0.865557,1047,152490
0.808325,1050,11901
0.11151254,1058,7213
0.47643846,1062,54873
0.88624424,1068,55612
0.99326384,1076,114726
0.19117552,1089,82777
0.10055729,1093,51495
0.82677275,1101,37142
0.2882118,1102,25529
0.23750518,1103,62134
0.9482363,1104,30154
0.14415985,1111,183279
0.20980053,1113,19191
0.92232764,1114,132760
0.83136934,1119,102789
0.72497934,1125,36176
0.87928504,1128,46352
0.010740691,1133,29382
0.48180002,1141,148845
0.5648671,1144,31351
0.07182322,1148,59570
0.7084607,1149,44039
0.4037362,1153,95632
0.24879174,1167,151112
0.77774584,1179,152912
0.84632814,1180,51363
0.8751847,1185,36453
0.28085417,1187,154078
0.74673265,1192,58887
0.99990904,1194,41269
0.9886899,1208,31165
0.99952996,1209,29904
0.84763956,1217,82620
0.6056097,1222,22964
0.92232764,1223,93867
0.92232764,1235,64827
0.9998312,1242,47427
0.9985481,1245,109286
0.99749386,1247,140966
0.74697596,1250,63201
0.9998369,1253,56220
0.25312445,1255,83100
0.13033076,1258,64827
0.91271156,1274,54255
0.74249095,1277,82052
0.2095618,1279,19191
0.90050244,1282,28679
0.83451563,1285,82881
0.99055237,1286,43665
0.92232764,1290,29525
0.99333787,1296,48057
0.99023765,1305,116728
0.7471905,1316,55134
0.047518786,1322,49011
0.92232764,1323,1457
0.9155128,1330,48306
0.13030224,1332,27027
0.7584524,1334,43235
0.9985481,1345,49551
0.8731527,1352,89310
0.13179816,1355,54777
0.8476758,1357,96441
0.7178309,1364,54486
0.9179627,1370,123002
0.92232764,1371,47884
0.92232764,1374,50756
0.0036255072,1376,113497
0.8660161,1382,160588
0.04673001,1386,34377
0.9741111,1390,342
0.0058791917,1391,35645
0.9920714,1392,29975
0.92232764,1393,83949
0.92232764,1399,26036
0.82258743,1405,83671
0.8052591,1411,27305
0.073042534,1414,150103
0.7405825,1418,156471
0.9987931,1421,8188
0.92232764,1422,106020
0.92232764,1426,105614
0.008599784,1433,150367
0.06440939,1441,38523
0.9004075,1445,147578
0.16705436,1454,154831
0.89030725,1457,55747
0.18161415,1465,181276
0.0768441,1466,52159
0.92232764,1475,198824
0.25980833,1482,154500
0.89805037,1483,154113
0.92232764,1491,16269
0.82723564,1494,46023
0.84721226,1497,48602
0.2095618,1499,19191
0.3639977,1506,154919
0.38923344,1514,156874
0.4016844,1525,154263
0.31156364,1526,152787
0.42610505,1530,153889
0.92232764,1534,54577
0.18729897,1541,82052
0.28683797,1542,147871
0.81694746,1545,104602
0.8986989,1546,187542
0.208975,1547,19191
0.31267682,1552,156482
0.92232764,1554,4631
0.8525307,1562,5076
0.33829728,1573,38343
0.9887899,1574,60297
0.6723751,1578,52479
0.14415985,1579,35721
0.9892516,1580,128658
0.7731413,1584,172785
0.06217031,1588,881
0.9179671,1589,60381
0.20980053,1594,19191
0.87462425,1616,18835
0.77564585,1617,51514
0.31837776,1618,66146
0.99185914,1623,29362
0.80146974,1629,27958
0.99197423,1632,114607
0.11141078,1634,17832
0.077883385,1649,97933
0.11213364,1660,48171
0.84942293,1665,31664
0.14415985,1669,124044
0.86040753,1677,54638
0.81455386,1678,135340
0.070349865,1682,130269
0.017024834,1687,192853
0.14415985,1689,88150
0.15539639,1696,156515
0.9801669,1700,54177
0.92232764,1702,99657
0.9959453,1706,379
0.61233705,1707,150180
0.8048451,1711,154671
0.38611922,1715,1422
0.8930346,1716,29971
0.79866314,1717,55348
0.14415985,1718,23983
0.9879372,1727,94235
0.31267682,1730,156482
0.87867826,1733,35345
0.99284405,1735,164073
0.92232764,1737,54186
0.9384446,1741,48574
0.010873582,1747,56173
0.21847047,1748,162971
0.10601985,1750,19782
0.80753875,1753,152414
0.92232764,1765,143728
0.41219962,1766,22688
0.0044468883,1767,126826
0.6181688,1768,29278
0.99948,1769,188514
0.93961483,1770,50762
0.9755521,1772,45551
0.9987756,1775,25675
0.9242144,1778,115071
0.12336746,1779,35886
0.77871716,1784,148894
0.43580273,1787,156940
0.99978465,1795,39814
0.8164292,1798,139994
0.2233539,1808,82777
0.47835732,1813,147792
0.43910855,1821,64898
0.2948654,1822,35645
0.06644175,1823,144963
0.14415985,1827,4494
0.9960118,1831,180937
0.65821856,1833,150367
0.91969514,1835,114914
0.7469199,1843,83835
0.7144302,1848,107746
0.119911015,1852,120035
0.13458985,1861,18700
0.12635432,1866,58548
0.9836676,1867,60048
0.13974725,1877,99523
0.09976348,1878,29841
0.8178624,1883,5649
0.9809916,1890,52168
0.9865681,1892,61304
0.7914688,1904,52159
0.14415985,1910,54600
0.46557435,1911,114645
0.8731527,1913,89310
0.054053813,1926,54577
0.2095618,1932,19191
0.91031224,1941,50686
0.6623305,1942,143617
0.110035874,1948,114973
0.99128526,1952,40356
0.6888351,1953,49954
0.92232764,1959,54531
0.23681775,1961,19191
0.0952724,1964,142834
0.15488227,1970,156515
0.9540402,1972,39717
0.37343907,1978,156940
0.87308353,1983,93923
0.58051944,1984,49565
0.99210536,1987,4726
0.6810139,1994,48738
0.90250844,1996,57310
0.8204765,1997,22913
0.99635077,2003,54257
0.009563409,2007,164669
0.004899449,2013,32587
0.9967527,2017,46658
0.99741066,2021,114742
0.8817967,2029,63055
0.07375289,2045,102829
0.7471905,2050,55134
0.92232764,2053,48883
0.87929195,2054,26653
0.9941959,2079,45772
0.85786307,2081,48781
0.007919223,2082,100652
0.7396284,2084,52511
0.9969997,2085,114962
0.98947036,2088,23484
0.18472655,2096,156515
0.068633504,2102,177895
0.26234278,2103,147836
0.99990195,2106,27924
0.6869234,2121,135688
0.86172354,2122,48484
0.92232764,2123,124695
0.99333954,2132,55695
0.020033669,2142,48330
0.9526986,2148,19193
0.9378691,2149,18176
0.8766981,2151,89571
0.99990904,2158,43904
0.14415985,2161,59317
0.9776359,2172,27919
0.9132622,2183,86963
0.7589552,2189,151305
0.14488915,2197,134552
0.76167434,2198,197459
0.92232764,2201,51545
0.90049756,2202,66146
0.9002709,2203,695
0.7446281,2205,98964
0.8466552,2206,150296
0.91466033,2207,53504
0.91795015,2210,46609
0.98916155,2212,93301
0.99366623,2213,54016
0.9980275,2216,104663
0.10893951,2222,25376
0.27878284,2225,52850
0.6047201,2232,154500
0.9165555,2233,48885
0.89322865,2234,54520
0.12315904,2240,25376
0.8663862,2241,113774
0.88737786,2250,33602
0.7339298,2253,104659
0.14415985,2258,40908
0.7428893,2262,30702
0.917997,2266,49366
0.81341565,2272,137098
0.8687606,2273,35675
0.9942763,2275,114960
0.21206638,2278,94103
0.91938996,2295,53888
0.09110071,2310,111145
0.0038198621,2312,190852
0.9154524,2315,114978
0.99658066,2317,2673
0.91258234,2318,119642
0.97911423,2319,29645
0.8731527,2320,89310
0.8731527,2321,89310
0.87985426,2324,57947
0.35141236,2325,83706
0.64458734,2329,113605
0.22228473,2330,82777
0.915559,2335,120705
0.14415985,2336,95630
0.0045868233,2341,172271
0.016780954,2342,27925
0.7603263,2350,13364
0.29190832,2352,154472
0.92232764,2357,41016
0.771665,2358,65034
0.18580654,2360,45905
0.005858452,2362,35645
0.2521532,2376,85314
0.9764109,2382,30330
0.9909355,2391,6300
0.9970637,2393,52489
0.92232764,2394,57491
0.92232764,2404,101855
0.017792648,2406,29312
0.8048451,2413,154671
0.86881477,2419,17887
0.99403644,2424,54857
0.8118957,2436,60651
0.59954983,2440,165680
0.92232764,2442,39270
0.8566037,2448,115071
0.7969757,2450,188086
0.92232764,2453,1783
0.14415985,2455,61252
0.9695006,2456,47544
0.8731527,2457,89310
0.86251014,2459,82936
0.8772832,2460,49847
0.8948478,2464,58530
0.22938691,2469,156885
0.99990904,2471,121711
0.14415985,2486,104599
0.8663862,2488,113495
0.8753012,2490,57310
0.9132622,2494,86963
0.063211195,2495,40291
0.9974683,2498,53238
0.25996035,2502,43015
0.98624843,2509,114732
0.53327805,2511,22474
0.92232764,2514,184343
0.7124184,2517,23129
0.8297565,2522,148339
0.8203918,2523,52957
0.99990904,2532,114422
0.9132622,2533,86963
0.1266682,2537,29192
0.8799271,2538,45791
0.8826541,2544,46533
0.09332443,2546,111145
0.99990904,2548,44169
0.9177496,2565,60524
0.83087784,2568,101244
0.31560352,2569,170738
0.9607414,2572,49050
0.83911914,2578,59758
0.92232764,2582,48398
0.986515,2586,29382
0.81993335,2587,33945
0.9976662,2601,140475
0.24041463,2603,31020
0.971132,2616,28256
0.98007435,2618,61495
0.62156063,2619,25343
0.99755836,2620,184476
0.1426284,2624,155781
0.8398877,2628,138901
0.92232764,2632,51532
0.9852313,2633,31732
0.060182344,2636,151671
0.2533969,2640,83100
0.9173449,2646,42970
0.69374514,2647,103881
0.8101175,2652,51697
0.45475307,2653,130499
0.92232764,2657,123649
0.9809916,2658,59197
0.8087345,2671,153549
0.78828454,2672,40195
0.92232764,2679,121700
0.92232764,2680,44670
0.13498731,2681,110755
0.959948,2699,56633
0.059422992,2700,962
0.92232764,2702,111145
0.92232764,2705,54531
0.90957177,2707,89752
0.5604226,2714,172492
0.9994928,2718,41865
0.91877407,2723,56127
0.92232764,2725,59302
0.5195111,2726,16601
0.18729897,2728,82052
0.9152435,2730,116581
0.9856998,2734,265
0.72916055,2745,95630
0.14415985,2749,114824
0.9474243,2753,25156
0.1972133,2754,62134
0.9977936,2756,29818
0.1937495,2757,62134
0.20928921,2758,19191
0.12286298,2763,20437
0.1055887,2765,180382
0.92232764,2766,48758
0.70555055,2774,147968
0.0028551149,2776,50208
0.9993048,2777,30856
0.92232764,2779,59195
0.48869944,2788,50669
0.99983656,2792,7000
0.39693594,2793,148554
0.99970686,2798,37093
0.74883264,2801,52445
0.55333734,2804,106062
0.3082794,2805,64898
0.9674377,2806,49952
0.9974707,2811,47765
0.92232764,2823,130074
0.049100902,2828,29097
0.83146673,2830,63645
0.04725864,2836,22423
0.99023765,2839,122781
0.9488726,2859,1557
0.61884373,2860,19026
0.796322,2863,41569
0.8731527,2864,89310
0.8541131,2868,41569
0.35606694,2869,89310
0.5226322,2870,107746
0.91063553,2883,21638
0.73456085,2895,113367
0.0053319777,2898,132004
0.9736621,2900,57680
0.91405916,2906,52560
0.92232764,2907,55045
0.6411419,2910,105694
0.81476074,2922,65226
0.9811415,2931,4262
0.7943115,2932,59290
0.6114139,2938,66506
0.92232764,2942,61284
0.92232764,2948,110127
0.9178828,2951,58631
0.9700391,2952,36043
0.072390296,2958,153181
0.16358536,2959,156515
0.5220647,2966,156515
0.5040567,2970,152195
0.99232906,2971,40291
0.92232764,2972,153654
0.042443067,2978,97304
0.9124128,2981,104727
0.03226715,2989,150103
0.15628703,2990,93763
0.84454244,2992,58658
0.78573,3004,149347
0.80117214,3006,54641
0.90616196,3009,23129
0.92232764,3012,18655
0.75051135,3017,23937
0.3156619,3019,100762
0.83201987,3026,148820
0.99736017,3040,36490
0.98421633,3041,178428
0.9825962,3053,7000
0.11744082,3059,151159
0.99023765,3063,3060
0.10782137,3065,52104
0.92232764,3070,18057
0.91410077,3073,103120
0.92232764,3077,46259
0.16448529,3083,156515
0.0039258534,3085,22139
0.9212131,3089,37813
0.9938356,3092,51880
0.5366891,3093,1783
0.4810424,3095,114645
0.8936915,3100,55867
0.9805818,3104,53618
0.5936422,3111,182014
0.31304008,3112,156482
0.89703935,3116,115948
0.090501785,3118,165823
0.047789596,3123,46596
0.92232764,3124,126131
0.90055007,3126,60788
0.9985875,3128,158412
0.92232764,3131,131541
